,Toponym Variant,Authority Name,MoEML @xml:id,Agas Map,All Variants (alternate names and variant spellings),Location category
84,Alderſgateſteete,Aldersgate Street,ALDE4,Agas Map,Aldermanbury | Alderſgate | Aldersgate Street | Alderſgate Street | Alderſgate ſtreet | Alderſgate ſtreete | Alderſgate ſtréet | Alderſgate ſtréete | Alderſgateſteete | alderſgateſtreet | Alderſgateſtreet | Aldeſtreete,Streets
85,alderſgateſtreet,Aldersgate Street,ALDE4,Agas Map,Aldermanbury | Alderſgate | Aldersgate Street | Alderſgate Street | Alderſgate ſtreet | Alderſgate ſtreete | Alderſgate ſtréet | Alderſgate ſtréete | Alderſgateſteete | alderſgateſtreet | Alderſgateſtreet | Aldeſtreete,Streets
86,Alderſgateſtreet,Aldersgate Street,ALDE4,Agas Map,Aldermanbury | Alderſgate | Aldersgate Street | Alderſgate Street | Alderſgate ſtreet | Alderſgate ſtreete | Alderſgate ſtréet | Alderſgate ſtréete | Alderſgateſteete | alderſgateſtreet | Alderſgateſtreet | Aldeſtreete,Streets
87,Alderſmãbury,Aldermanbury,ALDE1,Agas Map,Alderman burie ſtreete | Alderman bury | Alderman-bury | Aldermanberry | Aldermanburie ſtreete | Aldermanbury | aldermanbury | Aldermanbury of London | Aldermanbury ſtreet | Aldermanbury ſtreete | Aldermans bery | Alderſmãbury,Streets
88,Aldeſtreete,Aldersgate Street,ALDE4,Agas Map,Aldermanbury | Alderſgate | Aldersgate Street | Alderſgate Street | Alderſgate ſtreet | Alderſgate ſtreete | Alderſgate ſtréet | Alderſgate ſtréete | Alderſgateſteete | alderſgateſtreet | Alderſgateſtreet | Aldeſtreete,Streets
89,Aldgate,Aldgate,ALDG1,Agas Map,Ald-gate | Aldegate | Aldgate | Algate | Algegate | Ealdegate | Ealdgate | gate | Gate | Old-gate,Gates
90,Aldgate,Aldgate Ward,ALDG2,Agas Map,Aldegate | Aldegate ward | Aldegate warde | Aldegate Warde | Aldersgate Ward | Aldgate | Aldgate Ward | Aldgate ward | Aldgate warde | Aldgate Warde | Ealdegate | Ealdegate warde | Ealdgate | Ealdgate ward | Ealdgate Ward | Ealdgate Warde | Ealdgate warde,Wards
91,Aldgate,Aldgate Street,ALDG4,Agas Map,Aldegate | Aldgate | aldgate | Aldgate High Street | Aldgate Street | Aldgate ſtreet | Aldgate Street (without Aldgate) | Aldgate ſtreete | Aldgate warde | Ealdgate | Ealdgate ſtreete | Ealdgate Warde | high street,Streets
92,aldgate,Aldgate Street,ALDG4,Agas Map,Aldegate | Aldgate | aldgate | Aldgate High Street | Aldgate Street | Aldgate ſtreet | Aldgate Street (without Aldgate) | Aldgate ſtreete | Aldgate warde | Ealdgate | Ealdgate ſtreete | Ealdgate Warde | high street,Streets
93,Aldgate Bars,Aldgate Bars,ALDG3,Agas Map,Aldgate Bars | Barres | barres without Aldegate | bars,Bars
94,Aldgate High Street,Aldgate Street,ALDG4,Agas Map,Aldegate | Aldgate | aldgate | Aldgate High Street | Aldgate Street | Aldgate ſtreet | Aldgate Street (without Aldgate) | Aldgate ſtreete | Aldgate warde | Ealdgate | Ealdgate ſtreete | Ealdgate Warde | high street,Streets
95,Aldgate Street,Aldgate Street,ALDG4,Agas Map,Aldegate | Aldgate | aldgate | Aldgate High Street | Aldgate Street | Aldgate ſtreet | Aldgate Street (without Aldgate) | Aldgate ſtreete | Aldgate warde | Ealdgate | Ealdgate ſtreete | Ealdgate Warde | high street,Streets
96,Aldgate ſtreet,Aldgate Street,ALDG4,Agas Map,Aldegate | Aldgate | aldgate | Aldgate High Street | Aldgate Street | Aldgate ſtreet | Aldgate Street (without Aldgate) | Aldgate ſtreete | Aldgate warde | Ealdgate | Ealdgate ſtreete | Ealdgate Warde | high street,Streets
97,Aldgate Street (without Aldgate),Aldgate Street,ALDG4,Agas Map,Aldegate | Aldgate | aldgate | Aldgate High Street | Aldgate Street | Aldgate ſtreet | Aldgate Street (without Aldgate) | Aldgate ſtreete | Aldgate warde | Ealdgate | Ealdgate ſtreete | Ealdgate Warde | high street,Streets
98,Aldgate ſtreete,Aldgate Street,ALDG4,Agas Map,Aldegate | Aldgate | aldgate | Aldgate High Street | Aldgate Street | Aldgate ſtreet | Aldgate Street (without Aldgate) | Aldgate ſtreete | Aldgate warde | Ealdgate | Ealdgate ſtreete | Ealdgate Warde | high street,Streets
