,Toponym Variant,Authority Name,MoEML @xml:id,Agas Map,All Variants (alternate names and variant spellings),Location category
3885,Palmers lane,Anchor Lane,ANCH1,Agas Map,Anchor lane | anchor lane | Ankar Lane | Anker lane | Cressynghamlane | Fatteslane | Palmers lane | Vinter’s Place,Streets
3886,Pancras by Soper-Lane,St. Pancras (Soper Lane) (Parish),STPA105, ,"Pancras by Soper-Lane | pancras parryshe | St. Pancras, Soper Lane parish",Parishes
3887,pancras parryshe,St. Pancras (Soper Lane) (Parish),STPA105, ,"Pancras by Soper-Lane | pancras parryshe | St. Pancras, Soper Lane parish",Parishes
3888,Paniar Alley,Panier Alley,PANI1, ,Paniar Alley | Paniar-Alley | Panier Ally | Panyar Ally,Streets
3889,Paniar-Alley,Panier Alley,PANI1, ,Paniar Alley | Paniar-Alley | Panier Ally | Panyar Ally,Streets
3890,Panier Ally,Panier Alley,PANI1, ,Paniar Alley | Paniar-Alley | Panier Ally | Panyar Ally,Streets
3891,Panyar Ally,Panier Alley,PANI1, ,Paniar Alley | Paniar-Alley | Panier Ally | Panyar Ally,Streets
3892,Papie Chappell,St. Augustine Papey,STAU2,Agas Map,"chappell of Saint Auguſtine | Church of S. Auguſtine | church of S. Auguſtine | Church of S. Auguſtine Papey in the Wall | fraternity of the brothers in St. Augustine Papey | fraternity of the brothers of St. Augustine Papey | Papie Chappell | Pappey | Papye | Pariſh church of S. Auſtine in the wall | pariſh of S. Auguſtine | S. Auguſtin in the wall | S. Auguſtine in the wall | S. Auguſtine Papie | S. Auguſtine, Papey | S. Auguſtines Church | S. Auguſtines Papey | Saint Auguſtines Church in the wall | Sci augustini pappey | St Augustine Papey | St. Augustine Papey | St. Augustine’s Papey",Churches
3893,Pappey,St. Augustine Papey,STAU2,Agas Map,"chappell of Saint Auguſtine | Church of S. Auguſtine | church of S. Auguſtine | Church of S. Auguſtine Papey in the Wall | fraternity of the brothers in St. Augustine Papey | fraternity of the brothers of St. Augustine Papey | Papie Chappell | Pappey | Papye | Pariſh church of S. Auſtine in the wall | pariſh of S. Auguſtine | S. Auguſtin in the wall | S. Auguſtine in the wall | S. Auguſtine Papie | S. Auguſtine, Papey | S. Auguſtines Church | S. Auguſtines Papey | Saint Auguſtines Church in the wall | Sci augustini pappey | St Augustine Papey | St. Augustine Papey | St. Augustine’s Papey",Churches
3894,Papye,St. Augustine Papey,STAU2,Agas Map,"chappell of Saint Auguſtine | Church of S. Auguſtine | church of S. Auguſtine | Church of S. Auguſtine Papey in the Wall | fraternity of the brothers in St. Augustine Papey | fraternity of the brothers of St. Augustine Papey | Papie Chappell | Pappey | Papye | Pariſh church of S. Auſtine in the wall | pariſh of S. Auguſtine | S. Auguſtin in the wall | S. Auguſtine in the wall | S. Auguſtine Papie | S. Auguſtine, Papey | S. Auguſtines Church | S. Auguſtines Papey | Saint Auguſtines Church in the wall | Sci augustini pappey | St Augustine Papey | St. Augustine Papey | St. Augustine’s Papey",Churches
3895,Pardon Church yard,Pardon Churchyard,PARD1,Agas Map,Pardon Church yard | Pardon Church yarde | pardon church yarde,Churches
3896,pardon church yard,Pardon Churchyard,PARD2, ,pardon church yard | Pardō church yard,Sites
3897,Pardon Church yarde,Pardon Churchyard,PARD1,Agas Map,Pardon Church yard | Pardon Church yarde | pardon church yarde,Churches
3898,pardon church yarde,Pardon Churchyard,PARD1,Agas Map,Pardon Church yard | Pardon Church yarde | pardon church yarde,Churches
3899,Pardō church yard,Pardon Churchyard,PARD2, ,pardon church yard | Pardō church yard,Sites
3900,Paris Garden,Paris Garden Manor House,PARI1,Agas Map,Manor of Paris Gardens | Paris Garden | Paris Gardens | Paris Gardens manor | Paris Gardens Manor,Sites
3901,Paris Garden stairs,Paris Garden Stairs,PARI2,Agas Map,Paris Garden stairs,Riverside Features
3902,Paris Gardens,Paris Garden Manor House,PARI1,Agas Map,Manor of Paris Gardens | Paris Garden | Paris Gardens | Paris Gardens manor | Paris Gardens Manor,Sites
3903,Paris Gardens manor,Paris Garden Manor House,PARI1,Agas Map,Manor of Paris Gardens | Paris Garden | Paris Gardens | Paris Gardens manor | Paris Gardens Manor,Sites
3904,Paris Gardens Manor,Paris Garden Manor House,PARI1,Agas Map,Manor of Paris Gardens | Paris Garden | Paris Gardens | Paris Gardens manor | Paris Gardens Manor,Sites
3905,pariſh church,St. Olave,STOL1,Agas Map,church of Saint Olaue | Church of Saint Olaue | pariſh church | S. Nicholas Olaues | S. Olaue | S. Olaues Church | S. Olaues ſtreet | S. Oliues church | Saint Olaues Church | St. Olave | St. Olave Southwark | St. Olave’s Church,Churches
3906,pariſh Church of Aldermary,St. Mary Aldermary,STMA29,Agas Map,"Aldemarie Church | Aldemary church | Aldermanbury church | Aldmary church | church of Aldmary | church of S. Mary at Oſney | pariſh Church of Aldermary | S. Mary Aldmary | St. Mary Aldermanbury Church | St. Mary Aldermary | St. Mary Aldermary Church | St. Mary, Aldermary",Churches
3907,Pariſh church of Mary S. Vrſula,St. Mary Axe,STMA41,Agas Map,Church of S. Mary the virgine | Pariſh church of Mary S. Vrſula | S. Mary at the Axe | S. Mary ſtreete | S. Mary ſtréete | St. Mary Axe,Churches
3908,"Pariſh church of S, Clement Danes",St. Clement Danes,STCL2,Agas Map,"Church of S. Clement | church of S. Clements | Pariſh church of S, Clement Danes | Pariſh church of S. Clement Danes | S. Clement Danes | S. Clementes church | Saint Clements church | St. Clement | St. Clement Danes",Churches
3909,pariſh church of S. Auguſtine,St. Augustine (Watling Street),STAU3,Agas Map,"church of S. Auguſtine | church of S. Auguſtine, | church of Saint Auguſtine | pariſh church of S. Auguſtine | S. Auguſtine | S. Auguſtins Church | S. Auſtins church | ſaint Auguſtines church | St. Augustine, Old Change | St. Augustine, Watling Street",Churches
3910,Pariſh church of S. Auſtine in the wall,St. Augustine Papey,STAU2,Agas Map,"chappell of Saint Auguſtine | Church of S. Auguſtine | church of S. Auguſtine | Church of S. Auguſtine Papey in the Wall | fraternity of the brothers in St. Augustine Papey | fraternity of the brothers of St. Augustine Papey | Papie Chappell | Pappey | Papye | Pariſh church of S. Auſtine in the wall | pariſh of S. Auguſtine | S. Auguſtin in the wall | S. Auguſtine in the wall | S. Auguſtine Papie | S. Auguſtine, Papey | S. Auguſtines Church | S. Auguſtines Papey | Saint Auguſtines Church in the wall | Sci augustini pappey | St Augustine Papey | St. Augustine Papey | St. Augustine’s Papey",Churches
3911,Pariſh Church of S. Bennet Finke,St. Benet Fink,STBE2,Agas Map,Bennet Finke | Church of Saint Bennet | Church of Saynt Bennet | Finke | Pariſh Church of S. Bennet Finke | pariſh of S. Bennet Finke | S. Benet Fynke | S. Bennets church | Saint Bennets church | Saint Bennets pariſh | St. Benet Fink | St. Benet Fink Church,Churches
3912,Pariſh church of S. Clement Danes,St. Clement Danes,STCL2,Agas Map,"Church of S. Clement | church of S. Clements | Pariſh church of S, Clement Danes | Pariſh church of S. Clement Danes | S. Clement Danes | S. Clementes church | Saint Clements church | St. Clement | St. Clement Danes",Churches
3913,Pariſh church of S. Etholburge,St. Ethelburga,STET1,Agas Map,church of St. Ethelburga | Pariſh church of S. Etholburge | S. Ethelburge | S. Etholburge virgin | St. Ethelburga,Churches
3914,Pariſh church of S. Giles,St. Giles (Cripplegate),STGI3,Agas Map,"church of S. Giles | Church of S. Giles | Church of S. Giles without Criplegate | church of S. Giles without Cripplegate | Hoſpitall of the French order | Pariſh church of S. Giles | pariſh of S. Giles without Criplegate | S. Giles | S. Giles church | S. Giles Church | S. Giles Church without Cripplegate | S. Gyles | Saynt Giles | Saynt Gyles | Sir Giles Chapple | St. Giles | St. Giles Churchyard | St. Giles Cripplegate Church | St. Giles without Cripplegate | St. Giles, Cripplegate | St. Giles’s Church",Churches
3915,pariſh church of S. Helen,St. Helen’s (Bishopsgate),STHE1,Agas Map,"Church of S. Hellen | church of S. Hellens | Church of St. Helen, Bishopsgate | litle S. Hellens | Little St. Helen’s | pariſh church of S. Helen | pariſh church of S. Hellen | Pariſh church of S. Hellen | priory of S. Hellens | Priory of St. Helens | S. Elen | S. Helens | S. Helens church | S. Hellens | S. Hellens church | Saint Helens | St. Helen | St. Helens | St. Helens Priory | St. Helen’s | St. Helen’s, Bishopsgate",Churches
3916,pariſh church of S. Hellen,St. Helen’s (Bishopsgate),STHE1,Agas Map,"Church of S. Hellen | church of S. Hellens | Church of St. Helen, Bishopsgate | litle S. Hellens | Little St. Helen’s | pariſh church of S. Helen | pariſh church of S. Hellen | Pariſh church of S. Hellen | priory of S. Hellens | Priory of St. Helens | S. Elen | S. Helens | S. Helens church | S. Hellens | S. Hellens church | Saint Helens | St. Helen | St. Helens | St. Helens Priory | St. Helen’s | St. Helen’s, Bishopsgate",Churches
3917,Pariſh church of S. Hellen,St. Helen’s (Bishopsgate),STHE1,Agas Map,"Church of S. Hellen | church of S. Hellens | Church of St. Helen, Bishopsgate | litle S. Hellens | Little St. Helen’s | pariſh church of S. Helen | pariſh church of S. Hellen | Pariſh church of S. Hellen | priory of S. Hellens | Priory of St. Helens | S. Elen | S. Helens | S. Helens church | S. Hellens | S. Hellens church | Saint Helens | St. Helen | St. Helens | St. Helens Priory | St. Helen’s | St. Helen’s, Bishopsgate",Churches
3918,Pariſh church of S. Iames,St. James Garlickhithe,STJA4,Agas Map,"Church Garlicke | Church of S. Iames | Church of S. Iames Garlycke hith | Pariſh church of S. Iames | S, Iames, at Garlicke Hith | S. Iames at Garlicke Hith | S. Iames Church by Garlike Hith | S. Iames Garlicke hith | Saint Iames church | St. James Garlick | St. James Garlickhithe",Churches
3919,Pariſh church of S. Iohn,St. John’s of Jerusalem,STJO3,Agas Map,"Hoſpitall and houſe of S. Iohns of Ieruſalem | Hoſpitall ofS. Iohn of Ieruſalem | houſe of S. Iohns | houſe, of S. Iohn | Pariſh church of S. Iohn | Prior of S. Iohn | Prior of S. Iohns | Priorie of S. Iohn of Ieruſalem | S Iohn of Ieruſalem | S. Iohn | S. Iohn Baptiſt | S. Iohn of Ieruſalem | S. Iohn of Iheruſalem | S. Iohns | S. Iohns church | S. Iohns in Smithfielde | St. John of Jerusalem | St. John’s | St. John’s of Jerusalem",Churches
3920,Pariſh church of S. Katherin Chriſts church,St. Katherine Cree,STCA1,Agas Map,Church of S. Katherine | Pariſh church of S. Katherin Chriſts church | Priorie of the holy Trinitie | rine Chriſtes Church | S. Katharene Chriſts Church | S. Kathe | S. Katheren Chriſts church | S. Katherine | S. Katherine Chriſt Church | S. Katherines | Saint Katherine Chriſt church | St. Catherine Cree | St. Katharine Cree | St. Katheine Cree | St. Katherine | St. Katherine and the Blessed Trinity | St. Katherine Christ Church | St. Katherine Cree | St. Katherine Cree Church | St. Katherine’s,Churches
3921,Pariſh church of S. Katherin Coleman,St. Katherine Coleman,STKA1,Agas Map,All Hallows Coleman Church | All Saintes | Church of S. Katheren | Coleman | Coleman Church | Coleman haw | Pariſh church of S. Katherin Coleman | Pariſh of S. Katherine | S. Katerin colmans | S. Katheren Colman church | S. Katheren Colman Churth | S. Katherine Colman | Saint Katherines | St. Katharine Coleman | St. Katherine | St. Katherine and All Saints | St. Katherine Coleman | St. Katherine Coleman Street,Churches
3922,pariſh Church of S. Margaret,St. Margaret (Westminster),STMA4,Agas Map,church of S. Margaret | pariſh Church of S. Margaret | Pariſh church of S. Margaret | pariſh of Saint Margaret | S. Margaret | S. Margrets,Churches
3923,Pariſh church of S. Margaret,St. Margaret (Westminster),STMA4,Agas Map,church of S. Margaret | pariſh Church of S. Margaret | Pariſh church of S. Margaret | pariſh of Saint Margaret | S. Margaret | S. Margrets,Churches
3924,Pariſh Church of S. Martin in the fielde,St. Martin-in-the-Fields,STMA18,Agas Map,church of Saint Martin in the field | Pariſh Church of S. Martin in the fielde | Pariſh church of S. Martin in the fielde | S. Martin in the field | S. Martins in the fielde | St. Martin in the Fields | St. Martin-in-the-Fields | St. Martin’s Church in the Fields,Churches
3925,Pariſh church of S. Martin in the fielde,St. Martin-in-the-Fields,STMA18,Agas Map,church of Saint Martin in the field | Pariſh Church of S. Martin in the fielde | Pariſh church of S. Martin in the fielde | S. Martin in the field | S. Martins in the fielde | St. Martin in the Fields | St. Martin-in-the-Fields | St. Martin’s Church in the Fields,Churches
3926,pariſh church of S. Stephen vppon Walbrooke,St. Stephen Walbrook,STST1,Agas Map,"Chappell of S. Stephen | Church of S. Stephen | church of S. Stephen by Walbrook | pariſh church of S. Stephen vppon Walbrooke | Parriſh of S, Stephen | Parſonage houſe | S. Stephen by Walbrooke | S. Stephen vppon walbrooke | St. Stephen Walbrook",Churches
3927,Pariſh church of S. Syth,St. Benet Sherehog,STBE4,Agas Map,"Bennet ſhorne (or Shrog, or Shorehogge) | Bennit ſhrog | Church of S. Sith | Pariſh church of S. Syth | S. Benet Shorhoge | S. Sithes church | S. Sithes Church | S. Sythes Church | St. Benet Sherehog | Syth",Churches
3928,pariſh Church of Saint Anne,St. Anne Blackfriars (Parish),STAN111, ,Annes Black Friers | Anns at Black fryers | pariſh Church of Saint Anne | St. Anne Blackfriars parish,Parishes
3929,Pariſh church of Saint Lawrence,St. Laurence Poultney,STLA6,Agas Map,"church of S. Laurence | church of S. Laurence Poultney | Church of S. Laurence Pountney | churchyarde of S. Laurence Poultney | Marchantaylors ſchoole | Pariſh church of Saint Lawrence | pariſh of Saint Laurence Poultney | S. Laurence churchyard | S. Laurence Pountney | S. Lawrence Poultney | St. Laurence, Pountney | St. Lawrence Poultney | St. Lawrence Pountney",Churches
3930,Pariſh church of Saint Michaell,St. Michael (Crooked Lane),STMI5,Agas Map,"church of S. Michæl | church of S. Michæl in Crooked lane | church of S. Michæll | church of this S. Michæls | Colledge houſe in crooked lane | Pariſh church of Saint Michaell | S. Michael in crooked lane | S. Michaell | S. Michæls church | S. Michæls Crooked lane | St. Michael, Crooked Lane",Churches
3931,Pariſh Church of Saint Peter in Cheape,"St. Peter, Westcheap",STPE6,Agas Map,"church of S. Peter | Church of S. Peter | Pariſh Church of Saint Peter in Cheape | S. Peters | S. Peters in Cheape | St Peter West Cheap | St. Peter Westcheap | St. Peter, Westcheap | St. Peter’s Church, Wood Street",Churches
3932,pariſh clearks hall,Clerk’s Hall,CLER3, ,Hall and Almshouses of Fraternity of Parish Clerks | pariſh clearks hall,Halls
3933,pariſh of Alhallowes,All Hallows (London Wall),ALLH1,Agas Map,"Al Saintes | Alhallowes | Alhallowes by the Wall | Alhallowes Church | Alhallowes church | Alhallowes churchyard | Alhallowes in the wall | Alhallowes in the Wall | All Hallows | All Hallows at the Wall | All Hallows at Wall | All Hallows by the Wall | All Hallows near London Wall | All Hallows under the Wall | All Hallows, London Wall | All Haloues in y Wall | All-ſaintes in the wall | Church of Alhallowes | church of Alhallowes in the wall | pariſh of Alhallowes",Churches
3934,Pariſh of Alhallowes Barking,All Hallows Barking,ALLH2,Agas Map,Alhallowes Barking | All Hallows Barking | All Hallow’s Barking | Barking Alley | Barking chappell of our Ladie | Barking Church | Barking church | Barkingchurch | Barkyng | Church of Alhallowes Barking | Church of All Hallows Barking | College of Priests | kings Chappell of Barking | Pariſh of Alhallowes Barking | pariſh of Barking Church | St. Mary Barking Church | St. Mary Barkingchurch,Churches
3935,Pariſh of Alhallowes the leſſe,All Hallows the Less,ALLH7,Agas Map,"Alhallowes ad foenum | Alhallowes on the ſellers | Alhallowes pariſh the leſſe | Alhallowes the leſſe | All Hallows near the Ropery | All Hallows the Less | All Hallows upon the Cellar | Alſaints ad foenum | church of Alhallowes the leſſe | church of Alhallows | Church of All Hallows the Less | churchyard, of All ſaynts | leſſe | Pariſh of Alhallowes the leſſe | pariſh of All ſaints, the little",Churches
3936,"pariſh of All ſaints, the little",All Hallows the Less,ALLH7,Agas Map,"Alhallowes ad foenum | Alhallowes on the ſellers | Alhallowes pariſh the leſſe | Alhallowes the leſſe | All Hallows near the Ropery | All Hallows the Less | All Hallows upon the Cellar | Alſaints ad foenum | church of Alhallowes the leſſe | church of Alhallows | Church of All Hallows the Less | churchyard, of All ſaynts | leſſe | Pariſh of Alhallowes the leſſe | pariſh of All ſaints, the little",Churches
3937,pariſh of Barking Church,All Hallows Barking,ALLH2,Agas Map,Alhallowes Barking | All Hallows Barking | All Hallow’s Barking | Barking Alley | Barking chappell of our Ladie | Barking Church | Barking church | Barkingchurch | Barkyng | Church of Alhallowes Barking | Church of All Hallows Barking | College of Priests | kings Chappell of Barking | Pariſh of Alhallowes Barking | pariſh of Barking Church | St. Mary Barking Church | St. Mary Barkingchurch,Churches
3938,Parish of Christ Church in Southwark,Christchurch Southwark (Parish),CHRI101, ,Chriſt Church Pariſh | Christchurch Southwark parish | Parish of Christ Church in Southwark,Parishes
3939,pariſh of Mary Summerſet,St. Mary Somerset,STMA35,Agas Map,By Gods houſe by broken wharffe | church of Saint Mary Summerſet | churchyard of S. Mary Sommerſet | pariſh of Mary Summerſet | Pariſh of Saint Mary Somerſhithe | S. Mary at Sommers hith | St. Mary Somerset | Summers Hithe | Sūmers Hithe,Churches
3940,"pariſh of S, Iohn vppon Walbrooke",St. John the Baptist (Walbrook),STJO4,Agas Map,"Baptist John’s | Church of S. Iohn Baptiſt | pariſh of S, Iohn vppon Walbrooke | S. Iohn vpon Walbrooke | S. Iohns Church vpon Walbrooke | S. Iohns church vpon Walbrooke | S. Iohns Church, vpon Walbrooke | S. Iohns vpon walbrooke | S. Iohns vpon Walbrooke | St. John the Baptist | St. John The Baptist, Walbrook",Churches
3941,pariſh of S. Andrew,St. Andrew Undershaft,STAN8,Agas Map,"church of S. Andrew | Church of S. Andrew Apoſtle | church of S. Andrew Vnderſhaft | Church of S. Andrew Vnderſhaft | Church of S.Andrew | pariſh of S. Andrew | S, Andrew vpon Cornhill | S. Andrew | S. Andrew Vnderſhaft | S. Andrewe Underſhafte | S. Andrewe Vnder Shafte | S. Andrewes Church | S. Andrewes vnderſhaft Church | S. Andrewes vnderſhafte | Saint Andrewes Church called Underſhaft | St Andrew Undershaft | St. Andrew Undershaft | St. Andrew upon Cornhill | Underſhaft | Undershaft",Churches
3942,"pariſh of S. Andrew, next to Baynard Caſtle",St. Andrew by the Wardrobe,STAN7,Agas Map,"Church of Andrew in the Wardrobe | church of S. Andrew in yͤ Wardrobe | Church of Saint Andrew by the Wardrobe | pariſh of S. Andrew, next to Baynard Caſtle | Pariſh of Saint Andrew | S. Andrew by the Wardrobe | Saint Andrew by the Wardrope | St. Andrew by the Wardrobe",Churches
3943,pariſh of S. Anne,St. Anne and St. Agnes,STAN9,Agas Map,"church of S. Anne in the Willowes | church of S. Anne, in the willowes | pariſh of S. Anne | S. Anne | St. Anne and St. Agnes | ST. Anne and St. Agnes | St. Anne’s Church, Aldersgate",Churches
3944,pariſh of S. Auguſtine,St. Augustine Papey,STAU2,Agas Map,"chappell of Saint Auguſtine | Church of S. Auguſtine | church of S. Auguſtine | Church of S. Auguſtine Papey in the Wall | fraternity of the brothers in St. Augustine Papey | fraternity of the brothers of St. Augustine Papey | Papie Chappell | Pappey | Papye | Pariſh church of S. Auſtine in the wall | pariſh of S. Auguſtine | S. Auguſtin in the wall | S. Auguſtine in the wall | S. Auguſtine Papie | S. Auguſtine, Papey | S. Auguſtines Church | S. Auguſtines Papey | Saint Auguſtines Church in the wall | Sci augustini pappey | St Augustine Papey | St. Augustine Papey | St. Augustine’s Papey",Churches
3945,pariſh of S. Benet Huda,St. Benet (Paul’s Wharf),STBE1,Agas Map,"Church of Saint Benet hard by Pauls Wharfe | Lymehoſt | Lymehurſt | pariſh of S. Benet Huda | S. Benet Hude | S. Benet, Hude (or Hithe) | Saint Benet | Saint Bennets | St. Benet, Paul’s Wharf | St. Benet’s | St. Benet’s Curch, Paul’s Wharf",Churches
3946,pariſh of S. Bennet Finke,St. Benet Fink,STBE2,Agas Map,Bennet Finke | Church of Saint Bennet | Church of Saynt Bennet | Finke | Pariſh Church of S. Bennet Finke | pariſh of S. Bennet Finke | S. Benet Fynke | S. Bennets church | Saint Bennets church | Saint Bennets pariſh | St. Benet Fink | St. Benet Fink Church,Churches
3947,pariſh of S. Buttolph,St. Botolph (Aldersgate) (Parish),STBO103, ,"Buttols without Alderſg | pariſh of S. Buttolph | St. Botolph, Aldersgate parish",Parishes
3948,pariſh of S. Buttolph,St. Botolph (Billingsgate),STBO4,Agas Map,"church of S. Buttolph | pariſh of S. Buttolph | Parriſh Church of S. Buttolph | parriſh of S. Buttolph | S. Buttolphe by Billinſgate | St. Botolph, Billingsgate | St. Botolph’s | St. Botolph’s Church",Churches
3949,Pariſh of S. Buttolph without Biſhopſgate,St. Botolph without Bishopsgate,STBO1,Agas Map,"Bethelem | Church of S. Buttolph | church of S. Buttolph | Church of S. Buttolph without Biſhopſgate | Hoſpitall of Bethelem | hoſpitall of Bethlem | Pariſh of S. Buttolph without Biſhopſgate | S. Buttolph without Biſhopſgate | S. Buttolphes church | S. Buttolphes without Biſhopſgate | S. Buttolphes. | St. Botolph | St. Botolph without Bishopsgate | St. Botolph, Aldgate | St. Botolph, Bishopsgate",Churches
3950,Pariſh of S. Dunſtone,St. Dunstan in the East,STDU2,Agas Map,"Church of S , Dunſtone is called in the Eaſt | church of S. Dunſtone | Church of Saint Dunſtone | Church of Saint Dunstone in the East | Pariſh of S. Dunſtone | pariſh of S. Dunſtone in the Eaſt | S. Dunſtone in the eaſt | S. Dunſtone in the Eaſt | S. Dunſtones church | Saint Dunstans Church | Saint Dunſtans Church | St. Dunstan in the East | St. Dunstand in the East",Churches
3951,pariſh of S. Dunſtone in the Eaſt,St. Dunstan in the East,STDU2,Agas Map,"Church of S , Dunſtone is called in the Eaſt | church of S. Dunſtone | Church of Saint Dunſtone | Church of Saint Dunstone in the East | Pariſh of S. Dunſtone | pariſh of S. Dunſtone in the Eaſt | S. Dunſtone in the eaſt | S. Dunſtone in the Eaſt | S. Dunſtones church | Saint Dunstans Church | Saint Dunſtans Church | St. Dunstan in the East | St. Dunstand in the East",Churches
3952,pariſh of S. Giles,St. Giles (Cripplegate) (Parish),STGI103, ,"Giles without Criplegate | gylles at chriplegate | pariſh of S. Giles | Parish of St. Giles Cripplegate | parriſh church of S. Giles | S. Giles without Cripple gate | St. Giles, Cripplegate parish",Parishes
3953,pariſh of S. Giles without Criplegate,St. Giles (Cripplegate),STGI3,Agas Map,"church of S. Giles | Church of S. Giles | Church of S. Giles without Criplegate | church of S. Giles without Cripplegate | Hoſpitall of the French order | Pariſh church of S. Giles | pariſh of S. Giles without Criplegate | S. Giles | S. Giles church | S. Giles Church | S. Giles Church without Cripplegate | S. Gyles | Saynt Giles | Saynt Gyles | Sir Giles Chapple | St. Giles | St. Giles Churchyard | St. Giles Cripplegate Church | St. Giles without Cripplegate | St. Giles, Cripplegate | St. Giles’s Church",Churches
3954,Pariſh of S. Katherine,St. Katherine Coleman,STKA1,Agas Map,All Hallows Coleman Church | All Saintes | Church of S. Katheren | Coleman | Coleman Church | Coleman haw | Pariſh church of S. Katherin Coleman | Pariſh of S. Katherine | S. Katerin colmans | S. Katheren Colman church | S. Katheren Colman Churth | S. Katherine Colman | Saint Katherines | St. Katharine Coleman | St. Katherine | St. Katherine and All Saints | St. Katherine Coleman | St. Katherine Coleman Street,Churches
3955,pariſh of S. Magnus,St. Magnus,STMA1,Agas Map,church of S. Magnus | pariſh of S. Magnus | Parriſh Church of S. Magnus | S. Magnus | S. Magnus church | S. Magnus Church | S. MagnusChurch | ſaint Magnus | ſaint Magnus Church | sant Magnus London | St. Magnus | St. Magnus the Martyr | St. Magnus’ Corner | St. Magnus’s | St. Magnus’s Church,Churches
3956,pariſh of S. Martins Oteſwich,St. Martin Outwich,STMA21,Agas Map,Church of S. Martin | church of Saint Martine Otoſwich | pariſh of S. Martins Oteſwich | S. Martins Otelwich pariſh | S. Martins Oteſwich Church | S. Martins Oteſwitche | S. Martins Otoſwich | S. Martins Otſwitch | Saint Martins O wich | Saint Martins Otoſwich church | St. Martin Outwhich | St. Martin Outwich | St. martin Outwich,Churches
3957,pariſh of S. Mary de Arches,St. Mary-Le-Bow Churchyard,STMA15,Agas Map,Bow | Bow bell | Bow Church | Bow church | Bow-bell | Bowe bell | Bowe church | Bowe Church | church of S. Mary | church of S. Mary Bow | church of S. Mary Bowe | church of St. Mary-le-Bow | de Arcubus | le Bow | pariſh of S. Mary de Arches | S. Mary Bow | S. Mary Bowe | S. Mary de Arcubus | Saint Marie Bow church | Saint Mary Bow church | St. Mary Le Bow Churchyard | St. Mary-Le-Bow | St. Mary-le-Bow | St. Mary-Le-Bow Church | St. Mary-Le-Bow Churchyard,Churches
3958,"pariſh of S. Mary Magdalen, in olde Fiſhſtreete",St. Mary Magdalen (Old Fish Street),STMA34,Agas Map,"church | church of S. Mary Magdalen | Church of Saint Mary Magdalen | pariſh of S. Mary Magdalen, in olde Fiſhſtreete | Pariſh of Saint Mary Magdalen | Pariſh of Saint Mary Magdalen nigh to olde Fiſhſtréete | Parrish Church of S. Mary Magdalen | Parrish Church of Saint Mary Magdalen | S. Magdalens Church | S. Mary Magdalen | S. Mary Magdalens | Saint Mary Magdalen | Saint Mary Magdalens | Saint Mary Magdalens by olde Fiſhſtréete | Saint Mary Maudlins Church | Sant Mary Magdalens Church | St. Mary Magdalen Old Fish Street | St. Mary Magdalen, Old Fish Street",Churches
3959,pariſh of S. Michael,"St. Michael, Cornhill (Parish)",STMI104,Agas Map,"Mighelsin Corne-hill | Mychaell in cornehill | pariſh of S. Michael | St. Michael, Cornhill parish",Parishes
3960,Pariſh of S. Michaell de Pater noſter,St. Michael Paternoster Royal (Parish),STMI107, ,Migels in the Riall | Mychaell in the Ryalle | Pariſh of S. Michaell de Pater noſter | St. Michael Paternoster Royal parish,Parishes
3961,pariſh of S. Michæll,St. Michael Bassishaw,STMI3,Agas Map,"Church at Baſſinges hal | church of S. Michæl | church of S. Michæll | Church of St. Michael in Bassinges Hall | pariſh of S. Michæll | S. Michæl at Baſſings Hall | S. Michæll at Baſſinges hall | S. Michæll of Baſſings haugh | St. Michael Bassishaw | St. Michael’s Church, Bassishow",Churches
3962,pariſh of S. Michæll de pater noſter,St. Michael Paternoster Royal,STMI7,Agas Map,church of S. Michæl | church of S. Michæls pater noſter | pariſh of S. Michæll de pater noſter | Pater noſter church in the Royal | S. Michæl Pater noſter in the Royall | S. Michæls church | St. Michael Paternoster Royal,Churches
3963,pariſh of S. Mildrede,St. Mildred (Poultry),STMI10,Agas Map,"[U]nder St. Mildred’s Church | church of S. Mildred | pariſh of S. Mildrede | S. Mildred in the Poultrie | S. Mildrede | S. Mildredes church | S. Mildredes Church | S. Mildreds church in the Poultrie | Saint Mildred church | St. Mildred | St. Mildred, Poultry",Churches
3964,Pariſh of S. Nicholas,St. Nicholas Olave,STNI3,Agas Map,church of S. Nicholas Oliue | Pariſh of S. Nicholas | S. Nicholas Olaue | S. Nicholas Olaues | S. Olaue | St. Nicholas Olave,Churches
3965,pariſh of S. Sauiour,St. Saviour (Southwark),STSA1,Agas Map,"Monaſterie of S. Sauiour at Barmondſey in Southwark | pariſh of S. Sauiour | Pryorie, or Abbey, of Saint Sauior | S. Mary Magdalen | S. Sauiors | S. Sauiour | St. Saviour | St. Saviour Parish | St. Saviour, Southwark",Churches
3966,pariſh of S. Sepulcher,St. Sepulchre,STSE2,Agas Map,Church of S. Sepulchers | church of Saint Sepulchre | pariſh of S. Sepulcher | pariſh of S. Sepulchers | Pulchre’s Church | S. Sepulcher | S. Sepulchers Church | S. Sepulchre | Saint ſepulchers Church | Saint Sepulchres church | St. Sepulchre | St. Sepulchre’s Church,Churches
